,audio_filename,dataset,person,bicycle,car,motorcycle,siren,bus,truck,split
0,/media/magalhaes/schreder_sound/22_9_2022/2022-09-22 10_18_54.006322+00_00.wav,22_9_2022,0.0,0.0,1.0,1.0,0.0,0.0,1.0,val
1,/media/magalhaes/schreder_sound/22_9_2022/2022-09-22 10_19_10.314817+00_00.wav,22_9_2022,0.0,0.0,1.0,0.0,0.0,0.0,0.0,val
2,/media/magalhaes/schreder_sound/22_9_2022/2022-09-22 10_19_26.605421+00_00.wav,22_9_2022,0.0,0.0,1.0,0.0,0.0,0.0,0.0,split1
3,/media/magalhaes/schreder_sound/22_9_2022/2022-09-22 10_19_42.821944+00_00.wav,22_9_2022,0.0,0.0,1.0,0.0,0.0,0.0,0.0,split1
4,/media/magalhaes/schreder_sound/22_9_2022/2022-09-22 10_19_59.139210+00_00.wav,22_9_2022,0.0,0.0,1.0,0.0,0.0,0.0,0.0,split1
5,/media/magalhaes/schreder_sound/22_9_2022/2022-09-22 10_20_15.427370+00_00.wav,22_9_2022,0.0,0.0,1.0,0.0,0.0,0.0,0.0,split1
6,/media/magalhaes/schreder_sound/22_9_2022/2022-09-22 10_20_31.655683+00_00.wav,22_9_2022,0.0,0.0,1.0,0.0,0.0,0.0,0.0,split2
7,/media/magalhaes/schreder_sound/22_9_2022/2022-09-22 10_21_20.770082+00_00.wav,22_9_2022,0.0,0.0,1.0,0.0,0.0,0.0,0.0,split1
8,/media/magalhaes/schreder_sound/22_9_2022/2022-09-22 10_21_37.055776+00_00.wav,22_9_2022,0.0,0.0,1.0,1.0,0.0,0.0,0.0,val
9,/media/magalhaes/schreder_sound/22_9_2022/2022-09-22 10_21_53.442429+00_00.wav,22_9_2022,0.0,0.0,1.0,1.0,0.0,0.0,0.0,val
10,/media/magalhaes/schreder_sound/22_9_2022/2022-09-22 10_22_42.068722+00_00.wav,22_9_2022,0.0,0.0,1.0,0.0,0.0,0.0,0.0,split2
11,/media/magalhaes/schreder_sound/22_9_2022/2022-09-22 10_22_58.162609+00_00.wav,22_9_2022,0.0,0.0,1.0,1.0,0.0,0.0,0.0,split2
12,/media/magalhaes/schreder_sound/22_9_2022/2022-09-22 10_23_14.388916+00_00.wav,22_9_2022,0.0,0.0,1.0,0.0,0.0,0.0,0.0,val
13,/media/magalhaes/schreder_sound/22_9_2022/2022-09-22 10_23_30.636962+00_00.wav,22_9_2022,0.0,0.0,1.0,0.0,0.0,0.0,0.0,split2
14,/media/magalhaes/schreder_sound/22_9_2022/2022-09-22 10_23_46.996853+00_00.wav,22_9_2022,0.0,0.0,1.0,1.0,0.0,0.0,0.0,split1
15,/media/magalhaes/schreder_sound/22_9_2022/2022-09-22 10_24_03.165977+00_00.wav,22_9_2022,0.0,0.0,0.0,0.0,0.0,1.0,0.0,val
16,/media/magalhaes/schreder_sound/22_9_2022/2022-09-22 10_24_19.515485+00_00.wav,22_9_2022,0.0,0.0,1.0,1.0,0.0,0.0,0.0,split2
17,/media/magalhaes/schreder_sound/22_9_2022/2022-09-22 10_24_35.867706+00_00.wav,22_9_2022,0.0,0.0,1.0,0.0,0.0,0.0,0.0,split1
18,/media/magalhaes/schreder_sound/22_9_2022/2022-09-22 10_24_52.277120+00_00.wav,22_9_2022,0.0,0.0,1.0,0.0,0.0,0.0,0.0,val
19,/media/magalhaes/schreder_sound/22_9_2022/2022-09-22 10_25_08.389820+00_00.wav,22_9_2022,0.0,0.0,1.0,1.0,0.0,0.0,0.0,split2
20,/media/magalhaes/schreder_sound/22_9_2022/2022-09-22 10_25_24.667601+00_00.wav,22_9_2022,0.0,0.0,1.0,0.0,0.0,0.0,1.0,split2
21,/media/magalhaes/schreder_sound/22_9_2022/2022-09-22 10_25_41.153799+00_00.wav,22_9_2022,0.0,0.0,1.0,0.0,0.0,0.0,0.0,split2
22,/media/magalhaes/schreder_sound/22_9_2022/2022-09-22 10_25_57.516464+00_00.wav,22_9_2022,0.0,0.0,1.0,0.0,0.0,0.0,0.0,split1
23,/media/magalhaes/schreder_sound/22_9_2022/2022-09-22 10_26_13.855750+00_00.wav,22_9_2022,0.0,0.0,1.0,0.0,0.0,0.0,0.0,split1
24,/media/magalhaes/schreder_sound/22_9_2022/2022-09-22 10_26_30.271702+00_00.wav,22_9_2022,0.0,0.0,1.0,0.0,0.0,0.0,0.0,split1
25,/media/magalhaes/schreder_sound/22_9_2022/2022-09-22 10_26_54.924062+00_00.wav,22_9_2022,0.0,0.0,1.0,0.0,0.0,0.0,0.0,split2
26,/media/magalhaes/schreder_sound/22_9_2022/2022-09-22 10_27_11.374434+00_00.wav,22_9_2022,0.0,0.0,1.0,0.0,0.0,0.0,0.0,split1
27,/media/magalhaes/schreder_sound/22_9_2022/2022-09-22 10_27_27.687205+00_00.wav,22_9_2022,0.0,0.0,1.0,0.0,0.0,0.0,0.0,split2
28,/media/magalhaes/schreder_sound/22_9_2022/2022-09-22 10_27_44.111426+00_00.wav,22_9_2022,0.0,0.0,1.0,0.0,0.0,0.0,0.0,split1
29,/media/magalhaes/schreder_sound/22_9_2022/2022-09-22 10_28_00.507668+00_00.wav,22_9_2022,0.0,0.0,1.0,0.0,0.0,0.0,0.0,split1
30,/media/magalhaes/schreder_sound/22_9_2022/2022-09-22 10_28_17.023153+00_00.wav,22_9_2022,0.0,0.0,1.0,0.0,0.0,0.0,0.0,split1
31,/media/magalhaes/schreder_sound/22_9_2022/2022-09-22 10_28_33.689184+00_00.wav,22_9_2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,val
32,/media/magalhaes/schreder_sound/22_9_2022/2022-09-22 10_28_50.407655+00_00.wav,22_9_2022,0.0,0.0,1.0,0.0,0.0,0.0,0.0,split2
33,/media/magalhaes/schreder_sound/22_9_2022/2022-09-22 10_29_07.095763+00_00.wav,22_9_2022,0.0,0.0,1.0,0.0,0.0,0.0,0.0,split2
34,/media/magalhaes/schreder_sound/22_9_2022/2022-09-22 10_29_40.615707+00_00.wav,22_9_2022,0.0,0.0,1.0,0.0,0.0,0.0,0.0,split1
35,/media/magalhaes/schreder_sound/22_9_2022/2022-09-22 10_29_57.227644+00_00.wav,22_9_2022,0.0,0.0,1.0,0.0,0.0,1.0,0.0,val
36,/media/magalhaes/schreder_sound/22_9_2022/2022-09-22 10_30_13.971873+00_00.wav,22_9_2022,0.0,0.0,1.0,1.0,0.0,0.0,0.0,split2
37,/media/magalhaes/schreder_sound/22_9_2022/2022-09-22 10_30_47.302250+00_00.wav,22_9_2022,0.0,0.0,1.0,0.0,0.0,0.0,0.0,split1
38,/media/magalhaes/schreder_sound/22_9_2022/2022-09-22 10_31_04.011693+00_00.wav,22_9_2022,0.0,0.0,1.0,0.0,0.0,0.0,0.0,split2
39,/media/magalhaes/schreder_sound/22_9_2022/2022-09-22 10_31_20.767690+00_00.wav,22_9_2022,0.0,0.0,1.0,0.0,0.0,0.0,0.0,split2
40,/media/magalhaes/schreder_sound/22_9_2022/2022-09-22 10_31_37.462646+00_00.wav,22_9_2022,0.0,0.0,1.0,0.0,0.0,0.0,0.0,split2
41,/media/magalhaes/schreder_sound/22_9_2022/2022-09-22 10_32_11.286249+00_00.wav,22_9_2022,0.0,0.0,1.0,0.0,0.0,0.0,0.0,split2
42,/media/magalhaes/schreder_sound/22_9_2022/2022-09-22 10_32_45.243005+00_00.wav,22_9_2022,0.0,0.0,1.0,0.0,0.0,0.0,0.0,val
43,/media/magalhaes/schreder_sound/22_9_2022/2022-09-22 10_33_02.251708+00_00.wav,22_9_2022,0.0,0.0,1.0,0.0,0.0,0.0,0.0,split1
44,/media/magalhaes/schreder_sound/22_9_2022/2022-09-22 10_33_19.099669+00_00.wav,22_9_2022,0.0,0.0,1.0,0.0,0.0,0.0,0.0,split1
45,/media/magalhaes/schreder_sound/22_9_2022/2022-09-22 10_33_36.071703+00_00.wav,22_9_2022,0.0,0.0,1.0,1.0,0.0,0.0,0.0,split2
46,/media/magalhaes/schreder_sound/22_9_2022/2022-09-22 10_34_26.691732+00_00.wav,22_9_2022,0.0,0.0,1.0,0.0,0.0,0.0,0.0,split1
47,/media/magalhaes/schreder_sound/22_9_2022/2022-09-22 10_34_43.585259+00_00.wav,22_9_2022,0.0,0.0,1.0,0.0,0.0,0.0,0.0,split2
48,/media/magalhaes/schreder_sound/22_9_2022/2022-09-22 10_35_17.703444+00_00.wav,22_9_2022,0.0,0.0,1.0,0.0,0.0,0.0,0.0,split2
49,/media/magalhaes/schreder_sound/22_9_2022/2022-09-22 10_35_34.550318+00_00.wav,22_9_2022,0.0,0.0,1.0,0.0,0.0,0.0,0.0,split2
50,/media/magalhaes/schreder_sound/22_9_2022/2022-09-22 10_35_51.677196+00_00.wav,22_9_2022,0.0,0.0,1.0,1.0,0.0,0.0,0.0,split2
51,/media/magalhaes/schreder_sound/22_9_2022/2022-09-22 10_36_08.749660+00_00.wav,22_9_2022,0.0,0.0,1.0,0.0,0.0,0.0,0.0,split1
52,/media/magalhaes/schreder_sound/22_9_2022/2022-09-22 10_36_43.067700+00_00.wav,22_9_2022,0.0,0.0,1.0,0.0,0.0,0.0,0.0,split1
53,/media/magalhaes/schreder_sound/22_9_2022/2022-09-22 10_36_59.926263+00_00.wav,22_9_2022,0.0,0.0,1.0,0.0,0.0,0.0,0.0,val
54,/media/magalhaes/schreder_sound/22_9_2022/2022-09-22 10_37_16.881784+00_00.wav,22_9_2022,0.0,0.0,1.0,0.0,0.0,0.0,0.0,val
55,/media/magalhaes/schreder_sound/22_9_2022/2022-09-22 10_37_33.955811+00_00.wav,22_9_2022,0.0,0.0,1.0,0.0,0.0,0.0,0.0,split2
56,/media/magalhaes/schreder_sound/22_9_2022/2022-09-22 10_37_51.161058+00_00.wav,22_9_2022,0.0,0.0,1.0,0.0,0.0,0.0,0.0,split2
57,/media/magalhaes/schreder_sound/22_9_2022/2022-09-22 10_38_08.371600+00_00.wav,22_9_2022,0.0,0.0,1.0,1.0,0.0,0.0,0.0,split1
58,/media/magalhaes/schreder_sound/22_9_2022/2022-09-22 10_38_25.499928+00_00.wav,22_9_2022,0.0,0.0,1.0,0.0,0.0,0.0,0.0,split2
59,/media/magalhaes/schreder_sound/22_9_2022/2022-09-22 10_38_42.764095+00_00.wav,22_9_2022,0.0,0.0,1.0,0.0,0.0,0.0,0.0,split1
