Augmentation,RunID,F1-Score,Recall,Precision,Accuracy,person_F1 score,person_Precision,person_Recall,bicycle_F1 score,bicycle_Precision,bicycle_Recall,car_F1 score,car_Precision,car_Recall,motorcycle_F1 score,motorcycle_Precision,motorcycle_Recall,siren_F1 score,siren_Precision,siren_Recall,bus_F1 score,bus_Precision,bus_Recall,truck_F1 score,truck_Precision,truck_Recall
_TimeStretch_P,04,0.5792541594555323,0.7032721375120723,0.5165830851934073,0.8117359413202934,0.9336657697926727,0.9327528493645078,0.9346463694151147,0.5704174228675136,0.4288697788697789,0.8607553366174056,0.9145317274977672,0.9181173673740645,0.9111341838672673,0.4390336305880981,0.37769376793148823,0.5251196172248804,0.638985987416031,0.5385209334248455,0.7945205479452055,0.4424426272751253,0.3120967741935484,0.7634271099744245,0.11570195075151901,0.10803012519561815,0.13330179754020813
_SpecAugment_TimeStretch_P,04,0.5663167736010338,0.6812770223381465,0.516330155637386,0.8126086558697044,0.9245082437802736,0.9214964583379183,0.9275461150797535,0.5467570846424239,0.42654957507082153,0.7683663487405235,0.9053425925114337,0.9087784190436501,0.9019412404349577,0.4158563949139865,0.39513948961937717,0.4406868425744339,0.6435897435897435,0.5582481102712317,0.7635583840619812,0.4465525937997129,0.3283736395769591,0.7004066590418097,0.08161076196966256,0.0757253975417452,0.2664335664335664
_SpecAugment_P,04,0.5625431763362198,0.6704608062430863,0.5181027787819534,0.8129307834190855,0.9294189573933168,0.9293430838908048,0.929513926635503,0.5648034529499892,0.43007669167961393,0.8239930745398214,0.9118970096084174,0.9205738852841379,0.9035481714971344,0.43145500420521443,0.48226695264807784,0.3909330985915493,0.6404625850340137,0.5404180825867573,0.7930795656028369,0.39015032884434697,0.2729885057471264,0.6849083895853423,0.06961489631823953,0.051052249637155295,0.16724941724941725
_SpecAugment_ClippingDistortion_TimeStretch_P,04,0.5739868827853807,0.6922621769568302,0.5190706578782527,0.8074528557249843,0.9295373514436468,0.9281660914743166,0.9309230899074117,0.5391925451760904,0.40078709169618265,0.8236218568665377,0.912214817474086,0.9196288032178679,0.905115247255933,0.435319316836706,0.4068860564185299,0.46878726671039295,0.6630999760770754,0.5959261558268386,0.767984496124031,0.43343720216569903,0.3089912280701754,0.7268423062237495,0.10510697032436164,0.07310917844385774,0.2225609756097561
_SpecAugment_ClippingDistortion_P,04,0.56432936709173,0.7210838916259752,0.49702019869710157,0.8106720454753827,0.9326590301871094,0.9315465283329947,0.9337786944045912,0.571667316771356,0.4266873051091389,0.8666666666666667,0.9155580337053262,0.9209126843089925,0.9102953047930235,0.379240412979351,0.32446387230413065,0.4572391122734372,0.6631326744534292,0.5563934111779797,0.8281649616368286,0.407402657364182,0.2671751794751089,0.8576404664546419,0.08064544418135579,0.051962410171365395,0.19380203515263644
_SpecAugment_BackgroundNoise_TimeStretch_P,04,0.5727644208412187,0.6896891731151591,0.5286530491910074,0.8040625561747259,0.9318292378371869,0.9338671049606411,0.9298804281147781,0.5313272658575225,0.3941842795966294,0.8229900374389238,0.9135435132335625,0.9122936571258192,0.9149998063314594,0.4395544810795834,0.5032024394084721,0.4135581777621228,0.6930675287356322,0.6100879885410272,0.8270480315963817,0.4088741947384851,0.28465829463328846,0.7255376344086022,0.09115472440655815,0.062277580071174385,0.19381009615384615
_SpecAugment_BackgroundNoise_P,04,0.5682134304984798,0.6838510926511767,0.5098223756098701,0.8061549667668214,0.9299608429060178,0.9286036241923978,0.9314717866119735,0.5216612399147411,0.3955384984408731,0.767774936061381,0.9114090057082156,0.917294230837729,0.9060143513693815,0.41893360006155267,0.35429870225089816,0.5132978723404256,0.6564898231564898,0.5567710298000754,0.8241148124869055,0.4172257762521454,0.3160442600276625,0.6168185584092791,0.12181372549019608,0.10020628371945414,0.22746533127889057
_SpecAugment_BackgroundNoise_ClippingDistortion_TimeStretch_P,04,0.5763089028378106,0.7059073683835301,0.5147700225875578,0.8046951709363563,0.9293841339860491,0.9298412263954107,0.9291174117657108,0.5241075890513212,0.39262376589246395,0.7885781285746969,0.9106690224181551,0.9114586273128263,0.9099793379857696,0.4417466831693917,0.3950397795457576,0.5010840750492863,0.69310449344548,0.5956284153005464,0.8290448343079921,0.4340359094457455,0.30872536978693865,0.7342182890855458,0.1011144883485309,0.07007297387896134,0.24932950191570882
_SpecAugment_BackgroundNoise_ClippingDistortion_P,04,0.5662639128149607,0.6974733185624251,0.5090044759003001,0.809429903191108,0.9295574120132006,0.9243465997277143,0.934926844447902,0.5378740485872171,0.3995023301306024,0.8250794815358278,0.9125774149918136,0.9250513124519721,0.9005767980008901,0.43415825693460375,0.41982771390480966,0.46892147519205224,0.6762349218904489,0.5725398545815834,0.8331417073871802,0.43177866862077385,0.2967635205054191,0.7946669233731228,0.04166666666666667,0.025,0.125
_SpecAugment_BackgroundNoise_AirAbsorption_TimeStretch_P,04,0.5752674965974376,0.7279016662684112,0.5065518265353337,0.8108685968819599,0.9317150474022375,0.9309404439983011,0.93252866812042,0.5637230493452172,0.4253086245374163,0.8401993355481727,0.9119041555115719,0.9140804316981834,0.9097635128907786,0.3630596467566817,0.30229398073948127,0.5333760993659471,0.6850348988524784,0.5757201646090535,0.8488777089783281,0.4662858991039466,0.3204166666666667,0.8560538560538561,0.1051497792099296,0.07710247349823321,0.17451248292137622
